Location,Total_Residents,Average_Monthly_SNAP_Participants
United States,318498500,39651687
Alabama,4752600,766681
Alaska,709100,91995
Arizona,7004300,845733
Arkansas,2921300,372451
California,38745900,3949535
Colorado,5555200,449824
Connecticut,3466300,387329
Delaware,937700,140298
District of Columbia,667900,112282
Florida,20843500,3347518
Georgia,10212800,1556452
Hawaii,1354800,163618
Idaho,1719600,157858
Illinois,12438400,1826011
Indiana,6487100,617032
Iowa,3056800,345406
Kansas,2814700,217420
Kentucky,4320300,615305
Louisiana,4519300,867342
Maine,1299500,167858
Maryland,5870800,646483
Massachusetts,6659900,770566
Michigan,9770000,1281862
Minnesota,5489000,428986
Mississippi,2879400,505308
Missouri,5934500,736590
Montana,1034000,115223
Nebraska,1868900,169811
Nevada,2983400,439941
New Hampshire,1310300,86502
New Jersey,8728300,760303
New Mexico,2045300,456251
New York,19016900,2796620
North Carolina,10044400,1138288
North Dakota,730600,52621
Ohio,11355900,1421366
Oklahoma,3816100,585064
Oregon,4110800,633970
Pennsylvania,12388100,1818589
Rhode Island,1014000,N/A
South Carolina,4929800,658119
South Dakota,848700,87410
Tennessee,6586400,970875
Texas,28024000,3895207
Utah,3105900,189093
Vermont,600600,73058
Virginia,8182100,736221
Washington,7368000,877244
West Virginia,1752300,321009
Wisconsin,5662800,652885
Wyoming,560300,29330
Guam,165768,44974
U.S. Virgin Islands,106977,32833
